,Brand,Model,Previous model,Type,Weight,MSRP,Heel,Toe,Heel drop,Carbon plate,Sizing,Heel fit,Midfoot fit,Toebox fit,Type of cushioning,Amount of cushioning,Stability,Flexibility,Family,Rockplate,Traction,Water resitance,Road-to-trail
Value,Nike,ZoomX Vaporfly 3,ZoomX Vaporfly Next% 2,Racing,6.5 oz (184 g),$250.00,40 mm.,32 mm.,8 mm.,Full length carbon plate,True to size,Normal,Normal,Normal,Balanced,Highly cushioned,Some stability,Rigid,Vaporfly,,,,
Value,New Balance,Fresh Foam X More v4,Fresh Foam More v3,Cushioning,10.9 oz (309 g),$150.00,38 mm.,34 mm.,4 mm.,No plate,True to size,Normal,Tight,Normal,Balanced/plush,Highly cushioned,Some stability,Medium,,,,,
Value,Brooks,Glycerin 20,Glycerin 19,Cushioning,10.6 oz (301 g),$160.00,38 mm.,28 mm.,10 mm.,No plate,True to size,Tight,Wide,Normal,Balanced/plush,Highly cushioned,Not particularly stable,Medium,Glycerin,,,,
Value,Nike,Winflo 10,,Cushioning,9.9 oz (281 g),$100.00,33 mm.,23 mm.,10 mm.,No plate,True to size,Normal,Normal,Normal,Balanced,Medium cushioning,Very stable,Flexible,,,,,
Value,ON,Cloudflyer 4,Cloudflyer,Cushioning,10.5 oz (298 g),$170.00,mm.,mm.,11 mm.,Plate in other materials,True to size,Normal,Normal,Normal,Responsive/balanced,Medium cushioning,Some stability,Medium,,,,,
Value,Saucony,Endorphin Edge,,Trail,9.2 oz (261 g),$200.00,36 mm.,30 mm.,6 mm.,Full length carbon plate,True to size,Normal,Normal,Tight,Balanced/plush,Highly cushioned,Not particularly stable,Rigid,Endorphin,Solid protection,Provide Traction,Good,
Value,Hoka One One,Torrent 3,Torrent 2,Trail,8.7 oz (247 g),$130.00,mm.,mm.,5 mm.,No plate,True to size,Tight,Normal,Normal,Balanced/plush,Highly cushioned,Some stability,Medium,,Not present,Average Traction,Poor,
Value,Asics,Trabuco Max 2,,Trail,10.8 oz (306 g),$150.00,43 mm.,38 mm.,5 mm.,No plate,True to size,Normal,Wide,Wide,Responsive,Highly cushioned,Some stability,Medium,,Not present,Provide Traction,Adequate,
Value,Altra,Lone Peak 7,Lone Peak 5.0,Trail,11 oz (312 g),$150.00,25 mm.,25 mm.,0 mm.,No plate,True to size,Normal,Normal,Wide,Balanced,Medium cushioning,Some stability,Medium,,Not present,Provide Traction,Adequate,
Value,Asics,Dynablast 3,,Cushioning,9.2 oz (261 g),$100.00,31.5 mm.,23.5 mm.,8 mm.,No plate,Buy half size smaller,Normal,Tight,Normal,Responsive/balanced,Medium cushioning,Not particularly stable,Flexible,,,,,
Value,Skechers,GOrun Speed Beast,,Racing,9.5 oz (269 g),$200.00,40 mm.,36 mm.,4 mm.,Half length  carbon plate,True to size,Normal,Normal,Normal,Balanced,Highly cushioned,Very stable,Rigid,,,,,
Value,Nike,Air Zoom Pegasus 40,Air Zoom Pegasus 39,Cushioning,9.4 oz (266 g),$130.00,33 mm.,23 mm.,10 mm.,No plate,True to size,Normal,Normal,Normal,Balanced,Medium cushioning,Very stable,Flexible,Pegasus,,,,
