Brand,Model,Previous model,Type,Weight,MSRP,Heel,Toe,Heel drop,Carbon plate,Sizing,Heel fit,Midfoot fit,Toebox fit,Type of cushioning,Amount of cushioning,Stability,Flexibility,Family,Rockplate,Traction,Water resitance
Brooks,Launch 10,Launch 9,Cushioning,8.3 oz (235 g),$110.00,34 mm.,24 mm.,10 mm.,No plate,True to size,Tight,Normal,Normal,Responsive/balanced,Medium cushioning,Some stability,Flexible,,,,
Altra,Torin 7,Torin 5,Cushioning,9.87 oz (280 g),$150.00,30 mm.,30 mm.,0 mm.,No plate,True to size,Normal,Normal,Normal,Balanced,Highly cushioned,Not particularly stable,Medium,,,,
Asics,Noosa Tri 15,Noosa Tri 14,Lightweight,8 oz (227 g),$130.00,,,5 mm.,No plate,True to size,Normal,Normal,Normal,Responsive/balanced,Medium cushioning,Very stable,Medium,,,,
Brooks,Launch GTS 10,Launch GTS 9,Road,8.3 oz (235 g),$110.00,34 mm.,24 mm.,10 mm.,No plate,True to size,Tight,Normal,Tight,Responsive/balanced,Medium cushioning,Some stability,Medium,,,,
New Balance,FuelCell SuperComp Trainer v2,FuelCell Supercomp Trainer,Cushioning,9.7 oz (275 g),$180.00,40 mm.,34 mm.,6 mm.,Full length carbon plate,True to size,Normal,Normal,Normal,Balanced/plush,Highly cushioned,Very stable,Medium,,,,
Asics,Gel Kayano 30,Gel Kayano 29,Road,10.7 oz (303 g),$160.00,40 mm.,30 mm.,10 mm.,No plate,True to size,Normal,Tight,Normal,Balanced/plush,Highly cushioned,Very stable,Medium,Gel Kayano,,,
Brooks,Hyperion Max,,Cushioning,7.5 oz (213 g),$170.00,34 mm.,26 mm.,8 mm.,No plate,True to size,Normal,Normal,Normal,Responsive/balanced,Medium cushioning,Some stability,Rigid,,,,
Skechers,GOrun Ride 11,GOrun Ride 9,Cushioning,10 oz (283 g),$120.00,38 mm.,32 mm.,6 mm.,Half length  carbon plate,True to size,Normal,Normal,Normal,Balanced/plush,Highly cushioned,Very stable,Medium,,,,
Nike,Infinity RN4,,Cushioning,11.2 oz (318 g),$160.00,39 mm.,30 mm.,9 mm.,No plate,True to size,Normal,Normal,Normal,Responsive/balanced,Highly cushioned,Very stable,Flexible,,,,
ON,Cloudvista,,Trail,9.9 oz (281 g),$150.00,33 mm.,24 mm.,9 mm.,Plate in other materials,Buy half size bigger,Normal,Tight,Tight,Balanced,Little cushioning,Some stability,Medium,,Average protection,Average Traction,Poor
New Balance,Fresh Foam X Hierro v7,Fresh Foam Hierro v5,Trail,10 oz (283 g),$140.00,36 mm.,28 mm.,8 mm.,No plate,True to size,Normal,Normal,Normal,Balanced,Medium cushioning,Very stable,Medium,,Not present,Average Traction,Adequate
Brooks,Catamount 2,Catamount,Trail,9.7 oz (275 g),$170.00,30 mm.,24 mm.,6 mm.,Plate in other materials,True to size,Tight,Normal,Tight,Responsive/balanced,Medium cushioning,Very stable,Medium,,Solid protection,Average Traction,Adequate
Hoka One One,Mach X,,Cushioning,9.4 oz (266 g),$180.00,,,5 mm.,Plate in other materials,Buy half size bigger,Normal,Normal,Tight,Balanced,Highly cushioned,Very stable,Medium,,,,
ON,Cloudboom Echo 3,,Racing,7.6 oz (215 g),$289.00,37 mm.,28 mm.,9 mm.,Full length carbon plate,True to size,Normal,Normal,Normal,Responsive,Medium cushioning,Some stability,Rigid,,,,
ON,Cloudswift 3,ON Cloudswift,Cushioning,10.2 oz (289 g),$160.00,33 mm.,28 mm.,5 mm.,Plate in other materials,Buy half size bigger,Normal,Normal,Normal,Responsive/balanced,Medium cushioning,Some stability,Medium,,,,
Adidas,adizero Adios 8,adizero Adios 7,Lightweight,7.4 oz (210 g),$130.00,28 mm.,20 mm.,8 mm.,No plate,True to size,Normal,Normal,Normal,Responsive,Medium cushioning,Some stability,Medium,,,,
Saucony,Axon 3,Axon 2,Cushioning,8.5 oz (241 g),$90.00,,,4 mm.,No plate,True to size,Tight,Normal,Normal,Balanced,Highly cushioned,Not particularly stable,Medium,,,,
Asics,ASICS GT 1000 12,GT-1000 11,Road,9.5 oz (269 g),$100.00,30 mm.,22 mm.,8 mm.,No plate,True to size,Normal,Tight,Normal,Balanced,Medium cushioning,Very stable,Medium,,,,
Mizuno,Wave Rider 27,Wave Rider 26,Cushioning,9.9 oz (281 g),$140.00,,,12 mm.,No plate,True to size,Normal,Normal,Normal,Responsive/balanced,Medium cushioning,Some stability,Rigid,,,,
Asics,S4,,Racing,8.5 oz (241 g),$150.00,34 mm.,28 mm.,6 mm.,Full length carbon plate,Buy half size bigger,Normal,Tight,Normal,Responsive/balanced,Highly cushioned,Very stable,Rigid,,,,
Puma,ForeverRun Nitro,,Road,9.6 oz (272 g),$150.00,36 mm.,26 mm.,10 mm.,No plate,True to size,Tight,Normal,Tight,Balanced/plush,Highly cushioned,Some stability,Medium,,,,
Adidas,Duramo 10,Duramo 9,Cushioning,9 oz (255 g),$70.00,32 mm.,23 mm.,9 mm.,No plate,True to size,Normal,Normal,Normal,Responsive,Medium cushioning,Some stability,Flexible,,,,
Skechers,GOrun Max Road 6,,Cushioning,11 oz (312 g),$130.00,40 mm.,34 mm.,6 mm.,Half length  carbon plate,True to size,Normal,Normal,Normal,Balanced,Highly cushioned,Very stable,Medium,,,,
Saucony,Peregrine 13,Peregrine 12,Trail,9.2 oz (261 g),$140.00,28 mm.,24 mm.,4 mm.,No plate,True to size,Normal,Normal,Normal,,Medium cushioning,Some stability,Medium,,Solid protection,Provide Traction,Adequate
Altra,Provision 7,Provision 6,Road,9.1 oz (258 g),$140.00,30 mm.,30 mm.,mm.,No plate,True to size,Normal,Normal,Tight,Balanced,Highly cushioned,Some stability,Medium,,,,
Salomon,Speedcross 6,Speedcross 5,Trail,10.5 oz (298 g),$140.00,35.5 mm.,25.5 mm.,10 mm.,No plate,Buy half size smaller,Normal,Tight,Normal,Balanced,Medium cushioning,Very stable,Rigid,,Not present,Provide Traction,Good
Asics,Hyper Speed 3,Hyper Speed,Racing,6.8 oz (193 g),$90.00,,,7 mm.,No plate,True to size,Normal,Normal,Normal,Responsive/balanced,Little cushioning,Some stability,Flexible,,,,
Puma,Velocity Nitro 2,Velocity Nitro,Cushioning,8.8 oz (249 g),$120.00,33.5 mm.,23.5 mm.,10 mm.,No plate,True to size,Normal,Normal,Wide,Responsive/balanced,Medium cushioning,Not particularly stable,Medium,,,,
Puma,Liberate Nitro 2,,Lightweight,6.5 oz (184 g),$120.00,26 mm.,18 mm.,8 mm.,No plate,True to size,Normal,Normal,Normal,Responsive/balanced,Little cushioning,Not particularly stable,Medium,,,,
Adidas,AdiZero Boston 12,adizero Boston 11,Cushioning,9.4 oz (266 g),$160.00,37 mm.,30.5 mm.,6.5 mm.,Plate in other materials,True to size,Normal,Tight,Normal,Responsive/balanced,Highly cushioned,Very stable,Medium,,,,
Nike,Wildhorse 8,Wildhorse 7,Trail,11.4 oz (323 g),$130.00,35.5 mm.,27.5 mm.,8 mm.,No plate,True to size,Normal,Normal,Normal,Plush,Highly cushioned,Some stability,Medium,,Average protection,Average Traction,Poor
Asics,Magic Speed 3,Magic Speed 2,Racing,7.8 oz (221 g),$160.00,34.5 mm.,27.5 mm.,7 mm.,Full length carbon plate,True to size,Normal,Normal,Normal,Responsive,Medium cushioning,Some stability,Rigid,,,,
ON,Cloudflow 3,Cloudflow,Cushioning,9 oz (255 g),$140.00,30 mm.,24 mm.,6 mm.,Plate in other materials,True to size,Normal,Tight,Tight,Responsive,Little cushioning,Very stable,Medium,,,,
Adidas,adizero Takumi Sen 9,adizero Takumi Sen 8,Racing,6.6 oz (187 g),$180.00,33 mm.,27 mm.,6 mm.,Plate in other materials,True to size,Tight,Tight,Tight,Balanced,Medium cushioning,Not particularly stable,Medium,,,,
Mizuno,Wave Duel Pro,,Racing,6.7 oz (190 g),$250.00,26 mm.,18 mm.,8 mm.,Full length carbon plate,Buy half size bigger,Normal,Normal,Tight,Responsive,Medium cushioning,Not particularly stable,Rigid,,,,
Asics,Fuji Lite 3,,Trail,9.2 oz (261 g),$120.00,28 mm.,24 mm.,4 mm.,No plate,True to size,Tight,Tight,Normal,Responsive/balanced,Medium cushioning,Some stability,Flexible,,Not present,Provide Traction,Adequate
Puma,Magnify Nitro,,Cushioning,10.7 oz (303 g),$140.00,38.5 mm.,29.5 mm.,9 mm.,No plate,True to size,Normal,Normal,Normal,Responsive/balanced,Highly cushioned,Very stable,Rigid,,,,
Nike,React Terra Kiger 9,,Trail,9.8 oz (278 g),$150.00,31 mm.,28 mm.,3 mm.,No plate,True to size,Normal,Normal,Normal,Responsive,Medium cushioning,Not particularly stable,Medium,,Lacks protection,Average Traction,Good
Saucony,Guide 16,Guide 15,Road,9.5 oz (269 g),$140.00,35 mm.,25 mm.,8 mm.,No plate,True to size,Normal,Normal,Wide,Balanced,Medium cushioning,Very stable,Flexible,Guide,,,
Reebok,Floatride Energy X,,Racing,9.1 oz (258 g),$170.00,,,6 mm.,Half length  carbon plate,True to size,Normal,Normal,Normal,Balanced,Highly cushioned,Very stable,Medium,,,,
ON,Cloudstratus 2,,Cushioning,10.4 oz (295 g),$170.00,36 mm.,28 mm.,8 mm.,Plate in other materials,True to size,Normal,Normal,Wide,Responsive/balanced,Medium cushioning,Very stable,Medium,,,,
Salomon,Aero Volt,,Cushioning,7.7 oz (218 g),$150.00,32.5 mm.,24.5 mm.,8 mm.,No plate,True to size,Normal,Normal,Normal,Balanced,Medium cushioning,Some stability,Flexible,,,,
Atreyu,The Artist,,Racing,7.8 oz (221 g),$100.00,30 mm.,24 mm.,6 mm.,Full length carbon plate,Buy half size bigger,Wide,Normal,Normal,Balanced,Highly cushioned,Some stability,Rigid,,,,
